title,company,location,published,applicants,url,description
,,,,,https://ar.linkedin.com/jobs/view/frontend-javascript-typescript-developer-at-yo-it-consulting-4144858191?position=18&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=00g0KxFb1eYJnfBfD25u%2FQ%3D%3D,LLM JavaScript / TypeScript Engineer Experience: 5 - 20 Years Location- Permanent Remote Anywhere in the world : 6-12 Months Full Time| 8 hours| Overlap Required: 5 hours PST : 5+ years experience JavaScript: 5 yrs OR Typescript: 5 yrs| Node.js OR Nest.js: 3 yrs| React OR Vue.js OR Angular: 3 yrs| Docke eWe are actively seeking talented developers proficient in Javascript/Typescript to join our ambitious team dedicated to pushing the frontiers of AI technology. This opportunity is tailored for professionals who thrive on developing innovative solutions and aspire to be at the forefront of AI advancements. You will work with different companies in the US who are looking to develop cutting-edge commercial and research AI solutions sSkills: vue|scalable architectures|nestjs|testing|front-end web development|vue.js|nest.js|angular|node.js|code review|typescript|frontend development|react.js|react|es6|javascript|docker
Frontend Developer (React),Tech9,Argentina,Hace 1 mes,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-developer-react-at-tech9-4119372953?position=19&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=xormDEBvIFLjPj%2FRBxyNcQ%3D%3D,About Us: Tech9 is shaking up a 20-year-old industry| and we're not slowing down. Recognized by Inc. 5000 as one of the nation's fastest-growing companies| we are dedicated to building innovative| highly complex web applications. Our team is passionate about delivering quality software that meets the highest standards. We offer a 100% remote working environment with a collaborative and supportive team| allowing you to focus on what you do best. Our current need is for a Fullstack Engineer to join our LATAM team. This role will allow you to work directly with our client| where you will get hands-on experience working with new projects and teams. Why Join Us?: Main Responsibilities: Minimum Qualifications: Additional Information: Interview Process Overview Tech9 believes in a fair and equitable interview process. Below you'll find an outline of the interview plan for our Fullstack Engineer positions. Please note that this is what we expect the process to look like; we may ask you for supplemental information or require an additional step before making a final decision. Tech9 Values: Our success is not just a product of what we do| but how we do it. Our culture is defined by values that are vital to our collective and individual achievements. We believe in 'Quality by Choice|' 'Win Win is the Only Win|' 'Continuous Improvement|' 'Integrity and Transparency|' and 'Extreme Ownership|'. These core values guide the actions and decisions we make every day. They are not just words; they are the compass that guide our actions and define our commitment to one another and our customers. #LATAM3 To ensure you've received our notifications| please whitelist the domains jazz.co| jazz.com| and applytojob.com
Desarrollador Frontend React,Educabot,Buenos Aires y alrededores,Hace 1 mes,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/desarrollador-frontend-react-at-educabot-4109376334?position=20&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=Aj3XKRrCNKo%2F3JKzlaqcuw%3D%3D,Aprender buenas prácticas de trabajo en un sistema performante| escalable y confiable en un ambiente dinámico y de trabajo en equipo. Además de capacitarse sobre el negocio| aportar sus conocimientos al equipo y darle valor al usuario final. Funciones Requerimientos Académicos Tecnológicos Aspiracionales
Software FrontEnd Developer,Varicent,Buenos Aires y alrededores,Hace 3 días,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/software-frontend-developer-at-varicent-4148396252?position=21&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=%2BrgtkO03kLbW4cvpQ2sGig%3D%3D,At Varicent| We’re Not Just Transforming The Sales Performance Management (SPM) Market—we’re Redefining How Organizations Achieve Revenue Success. Our Cutting-edge SaaS Solutions Empower Revenue Leaders Globally To Design Smarter Go-to-market Strategies| Maximize Seller Performance| And Unlock Untapped Potential. Varicent Stands At The Forefront Of Innovation| Celebrated As a Market Leader In The 2023 Forrester Wave Report For SPM| 2023 Ventana Research Revenue Performance Management (RPM) Value Index| Gartner Peer Insights| 2024 Gartner SPM Market Guide| And G2. Our Solutions Are Trusted By a Diverse Range Of Global Industry Leaders Like T-Mobile| ServiceNow| Wawanesa Bank| Shaw Industries| Moody's| Stryker And Hundreds More. Here’s Why You’ll Thrive At Varicent Join us at Varicent—where your talent and ambition meet limitless opportunities for success! Varicent's Sales Planning software empowers organizations to design and implement comprehensive go-to-market strategies by optimizing market coverage| monitoring sales performance| and enabling proactive adjustments to enhance sales team effectiveness. It offers features such as visual maps territory design| predictive intelligence| and collaborative quota allocation workflows| ensuring alignment with corporate objectives and maximizing revenue potential. As a Software Developer for the Sales Planning team| you will be joining a remote| cross-functional team of designers| product managers| and software engineers dedicated to revolutionizing how sales organizations execute go-to-market strategies for unparalleled success. You will work on enhancing a rapidly growing modern SaaS product: a single-page web application built in React| connecting via GraphQL to a serverless backend deployed to AWS. Here| your ideas are valued| your contributions drive impact| and your growth is a priority. We're not just building software — we're empowering sales teams to achieve revenue growth and market dominance. Varicent is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race| color| religion| gender| gender identity or expression| sexual orientation| national origin| genetics| disability| age| or veteran status. If you require accommodation at any time during the recruitment process please email accomodations@varicent.com Varicent is also committed to compliance with all fair employment practices regarding citizenship and immigration status. By applying for a position at Varicent and/or by using this portal| you declare and confirm that you have read and agree to our Job Applicant Privacy Notice and that the information provided by you as part of your application is true and complete and includes no misrepresentation or material omission of fact
Software Engineer - Frontend (LatAm),ReflexAI,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 1 mes,28 solicitudes,https://ar.linkedin.com/jobs/view/software-engineer-frontend-latam-at-reflexai-4102534817?position=22&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=mILSHmIYh6O68bwJoB1zZQ%3D%3D,Reports to: Director of Software Engineering Location: Latin America Hours: Full-time Compensation: $35K - $65K Base Pay + Equity About ReflexAI ReflexAI brings the best in machine learning and natural language processing to mission-driven| people-centric organizations via innovative tools that transform how they train| develop| and empower their frontline teams. About this role As a ReflexAI software engineer| you will be involved in multiple large-scale projects| including ReflexAI’s highly visible development of a tool that trains veterans to support each other through mental health challenges. You should bring front-end skills and have a strong knowledge of modern web application tools and architectures including Typescript| NextJS| tRPC| Tailwind CSS| cloud services (GCP and/or AWS)| Figma| Web Accessibility standards and REST APIs. You should have experience with technical decision-making| communicating technical architecture to non-technical stakeholders| and coding with best-practices. You should be excited about being a part of an innovative organization that makes a measurable impact across important industries including crisis response| public safety| healthcare| and more. What you’ll do Actively participate in all phases of the software development cycle including the development of high-quality and stable software based on customer| business| and technical requirements Deliver pixel-perfect and accessible interfaces that have undergone rigorous testing across browsers| operating systems| devices| and viewports Rigorously test interfaces to ensure they function at optimal performance Participate in regular sprints (including agile standups| sprint planning| sprint reviews| and retrospectives) with our engineering and product teams Work closely with product| design and machine learning counterparts on scoping and prioritization to ensure we’re achieving our highest-impact goals Adhere to automated code testing coverage requirements and coding style guides Participate in scrum meetings and provide regular updates on project progress Collaborate through participation in pair programming and code reviews Participate in an on-call rotation for support Other tasks| duties| or special projects as assigned Throughout everything you do| deliver solutions that are aligned with our values of fairness| quality| and trust Requirements for a great fit Very strong attention to detail Excellent communication and collaboration skills across modalities including written materials and live interactions Open mindedness as demonstrated by ability to consider other perspectives| change an opinion in the face of new data| and constant desire to learn Ability to explain and present technical concepts to a wide range of stakeholders including technical experts and broader audiences Experience (typically 3+ years) architecting| developing| and launching software products and/or services Some experience (typically 1+ years) working with Google Cloud Platform (GCP) or Amazon Web Services (AWS) Compensation Compensation ranges are for Latin America-based team members. Stock options are offered in addition to cash compensation. Powered by JazzHR
Frontend Software Engineer,CVC Corp Argentina,Buenos Aires y alrededores,Hace 3 semanas,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-software-engineer-at-cvc-corp-argentina-4126245128?position=23&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=Qc2gUv%2F5qSIaVt%2FP2IN9jA%3D%3D,Somos el grupo de viajes más grande de Latinoamérica. Nos apasiona conectar a las personas a través de los viajes ✈️🙌 Buscamos sumar a nuestro equipo Desarrollador/a frontend ¿Cuáles serán tus responsabilidades?
Frontend Developer,VML,Buenos Aires y alrededores,Hace 2 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-developer-at-vml-4089772285?position=24&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=kJgbKapxc2REk%2FU4NalPtw%3D%3D,"Who We Are At VML| we are a beacon of innovation and growth in an ever-evolving world. Our heritage is built upon a century of combined expertise| where creativity meets technology| and diverse perspectives ignite inspiration. With the merger of VMLY&R and Wunderman Thompson| we have forged a new path as a growth partner that is part creative agency| part consultancy| and part technology powerhouse. Our global family now encompasses over 30|000 employees across 150+ offices in 64 markets| each contributing to a culture that values connection| belonging| and the power of differences. Our expertise spans the entire customer journey| offering deep insights in communications| commerce| consultancy| CRM| CX| data| production| and technology. We deliver end-to-end solutions that result in revolutionary work. We are looking to hire a Front End Developer to join our Development team. You will take responsibility for creating and maintaining the theme of our client's global websites. To do well in this role| you need a very fine eye for detail| experience as a Front End Developer and a fair understanding of Content Management Systems (CMS). At VML| we are committed to fostering an all-inclusive work environment that is both rewarding and career-forward. Our Inclusion| Equity & Belonging initiatives| alongside the VML Foundation| reflect our dedication to giving back and making a positive impact in our communities and beyond. Our people are the heartbeat of our organization-creators| doers| innovators| makers| and thinkers-who drive not just marketing| but meaningful experiences that resonate in every action and interaction. VML is a WPP Agency. For more information| please visit our website| and follow VML on our social channels via Instagram| LinkedIn| and X. When you click ""Submit Application""| this will send any information you add below to VML. Before you do this| we think it's a good idea to read through our Recruitment Privacy Policy. California residents should read our California Recruitment Privacy Notice. This explains what we do with your personal data when you apply for a role with us| and| how you can update the information you have provided us with or how to remove it."
Software Engineer (Frontend),GoFundMe,Buenos Aires y alrededores,Hace 1 semana,166 solicitudes,https://ar.linkedin.com/jobs/view/software-engineer-frontend-at-gofundme-4125884043?position=25&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=x5Nek%2BYRlNsEMU8XLyy8MQ%3D%3D,Want to help us| help others? We’re hiring! GoFundMe is a global community of over 150 million people who come together every day with the common purpose of helping one another. Our mission is to help people help each other through our best in class technology. In 2022| GoFundMe joined together with Classy| a leading nonprofit fundraising software company that enables nonprofits to connect supporters with the causes they care about. Together| we have empowered people and organizations to raise more than $30 billion since 2010. Our vision is to become the most helpful place in the world. GoFundMe is looking to build out our Incubation and Network Effects teams with Frontend Engineers. We are searching for engineers who are passionate about connecting people and their networks to GoFundMe’s and Classy’s causes to have an even larger impact on more peoples’ lives. We live by our core values: . Be a part of something bigger with us! GoFundMe is proud to be an equal opportunity employer that actively pursues candidates of diverse backgrounds and experiences. We are committed to providing diversity| equity| and inclusion training to all employees| and we do not discriminate on the basis of race| color| religion| ethnicity| nationality or national origin| sex| sexual orientation| gender| gender identity or expression| pregnancy status| marital status| age| medical condition| mental or physical disability| or military or veteran status. If you require a reasonable accommodation to complete a job application or a job interview or to otherwise participate in the hiring process| please contact us at accommodationrequests@gofundme.com. GoFundMe and Classy are committed to leveraging Diversity| Equity| Inclusion| and Belonging to cultivate a culture that embraces and supports the unique identities| experiences| and perspectives of our people and customers. Our diversity recruiting priority is recognized under our first DEIB Driver: Opportunity Foster Diversity - we identify| recruit| and invest in top talent- ensure our people reflect the unique identities| experiences| and perspectives of the communities we serve and are all given the chance to grow. Depending on your location| the General Data Protection Regulation (GDPR) or certain US privacy laws may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here. By submitting your application| you are agreeing to our use and processing of your data as required. For recent company news and announcements| visit our Newsroom. GoFundMe is a global community of over 150 million people who come together every day with the common purpose of helping one another. Our mission is to help people help each other through our best in class technology. In 2022| GoFundMe joined together with Classy| a leading nonprofit fundraising software company that enables nonprofits to connect supporters with the causes they care about. Together| we have empowered people and organizations to raise more than $30 billion since 2010. Our vision is to become the most helpful place in the world. GoFundMe is looking to build out our Incubation and Network Effects teams with Frontend Engineers. We are searching for engineers who are passionate about connecting people and their networks to GoFundMe’s and Classy’s causes to have an even larger impact on more peoples’ lives. For recent company news and announcements| visit our Newsroom. We live by our core values: . Be a part of something bigger with us! GoFundMe is proud to be an equal opportunity employer that actively pursues candidates of diverse backgrounds and experiences. We are committed to providing diversity| equity| and inclusion training to all employees| and we do not discriminate on the basis of race| color| religion| ethnicity| nationality or national origin| sex| sexual orientation| gender| gender identity or expression| pregnancy status| marital status| age| medical condition| mental or physical disability| or military or veteran status. If you require a reasonable accommodation to complete a job application or a job interview or to otherwise participate in the hiring process| please contact us at accommodationrequests@gofundme.com. GoFundMe and Classy are committed to leveraging Diversity| Equity| Inclusion| and Belonging to cultivate a culture that embraces and supports the unique identities| experiences| and perspectives of our people and customers. Our diversity recruiting priority is recognized under our first DEIB Driver: Opportunity Foster Diversity - we identify| recruit| and invest in top talent- ensure our people reflect the unique identities| experiences| and perspectives of the communities we serve and are all given the chance to grow. For recent company news and announcements| visit our Newsroom.
🌐 Desarrollador Frontend 💻 📍 100% Remoto | 💵 Pago en USD,Stefanini LATAM,Argentina,Hace 2 días,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/%F0%9F%8C%90-desarrollador-frontend-%F0%9F%92%BB-%F0%9F%93%8D-100%25-remoto-%F0%9F%92%B5-pago-en-usd-at-stefanini-latam-4149185460?position=26&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=YuQW1l7rXI79p0uts3IKxQ%3D%3D,🌟 ¡Únete a Nuestro Equipo en Stefanini Latam! 🌟 🚀 Cargo: Desarrollador Frontend.
Frontend Engineer,MODO,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 1 mes,77 solicitudes,https://ar.linkedin.com/jobs/view/frontend-engineer-at-modo-4143357105?position=27&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=eMwSbUUwDQksQXxSn2%2BHKQ%3D%3D,"Somos MODO| la fintech de los bancos argentinos que está revolucionando la manera de pagar y ahorrar con promociones en la Argentina. Estamos en el centro del ecosistema de pagos| desarrollando experiencias de pago novedosas en QR| NFC y online con todos los medios de pago| y creando el mejor lugar para hacer y disfrutar promociones. Además| creamos el primer hub de open banking de la Argentina para hacer más simple el manejo de tu plata. En MODO confluyen los principales bancos| procesadores de pagos| comercios y mucho más. Somos líderes en el cambio de una industria que está atravesando su mayor transformación en la historia| y nuestros productos y tecnologías están en la frontera de la práctica a nivel mundial. Tenemos el propósito de ""Conectar tu dinero y tu mundo para simplificar lo cotidiano"" y los moders cuentan con todo lo que necesitan para hacerlo realidad. Nuestro equipo está siempre en transformación| y hoy necesitamos sumar a un/a para seguir creciendo. ¿Cuáles serán tus principales responsabilidades? ¿Qué esperamos de vos? ¿Qué ofrecemos? Si te interesa trabajar en un equipo ágil y autónomo dentro de una compañía desde su concepción| donde el margen de acción de cada rol es gigante| ¡Te esperamos!"
Front End Engineer,Ryz Labs,Buenos Aires y alrededores,Hace 9 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/front-end-engineer-at-ryz-labs-3917245357?position=28&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=PSsH9QOv84SC%2FkbKPgQgWA%3D%3D,RYZ Labs is seeking a Frontend Engineer to join our team and work with one of our clients on developing web-based applications. The role involves creating user-friendly interfaces| ensuring data is accessible and engaging for end-users| and delivering real-time data processing capabilities. As part of the Engineering team| you'll work across a variety of products and features within a collaborative Agile environment| with support from experienced engineers. We are committed to advancing your engineering career while ensuring success for our partners. Responsibilities: Qualifications: About RYZ Labs: RYZ Labs is a startup studio built in 2021 by two lifelong entrepreneurs. The founders of RYZ have worked at some of the world's largest tech companies and some of the most iconic consumer brands. They have lived and worked in Argentina for many years and have decades of experience in Latam. What brought them together is the passion for the early phases of company creation and the idea of attracting the brightest talents to build industry-defining companies in a post-pandemic world. Our teams are remote and distributed throughout the US and Latam. They use the latest cutting-edge technologies in cloud computing to create applications that are scalable and resilient. We aim to provide diverse product solutions for different industries| planning to build a large number of startups in the upcoming years. At RYZ| you will find yourself working with autonomy and efficiency| owning every step of your development. We provide an environment of opportunities| learning| growth| expansion| and challenging projects. You will deepen your experience while sharing and learning from a team of great professionals and specialists. Our values and what to expect:
FrontEnd Developer (24FD01BU),Eureka Labs,Córdoba| Córdoba| Argentina,Hace 2 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-developer-24fd01bu-at-eureka-labs-4086782161?position=29&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=%2BWvZiLXExHaDB0eqKMAv8w%3D%3D,Overview Location: Full remote. Located in Córdoba| Argentina. Schedule: Full time As a FrontEnd Engineer with a proven track record of delivering customer-centric user experiences in high-growth environments| particularly in early-stage startups| you will take on a key individual contributor role within the growth partner's team. You will be responsible for shaping the user experience| focusing on usability| accessibility| and data visualization. Your work will involve active participation in design and architectural decisions| understanding requirements| and implementing critical interfaces and complex components for new systems and features.
React Developer,Making Sense LLC,Argentina,Hace 2 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/react-developer-at-making-sense-llc-4080027463?position=30&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=iQCPcqySFm2P9ncotKj5%2BA%3D%3D,Descripción del puesto Job Title Sr React Developer Remote position in Argentina Perform tasks in all phases of the development cycle with little or none technical supervision. Appropriately assess problematic situations to gain adequate understanding of problems involved and assume the responsibility of delivering complex tasks on time and in scope within the team’s plan. Requisitos Beneficios
Web Frontend Engineer - JS| CSS| React| Flutter,Canonical,Buenos Aires y alrededores,Hace 3 semanas,83 solicitudes,https://ar.linkedin.com/jobs/view/web-frontend-engineer-js-css-react-flutter-at-canonical-4127734750?position=31&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=BxnT92OYUkPaDRcoSclBlA%3D%3D,Canonical is a leading provider of open-source software and operating systems to the global enterprise and technology markets. Our platform| Ubuntu| is very widely used in breakthrough enterprise initiatives such as public cloud| data science| AI| engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers| and industry leaders in many sectors. The company is a pioneer of globally distributed collaboration| with 1100+ colleagues in 75+ countries and very few office-based roles. Teams meet two to four times yearly in person| in interesting locations around the world| to align on strategy and execution. The company is founder-led| profitable and growing. We are hiring a Web/UI Engineer to develop a data-rich and reliable user experience. These frontends are constructed using JS| CSS| React| and Flutter| and serve as Canonical's enterprise products that act as the company's face to our users. In order to create consistency across our products and sites| we have a central team that builds an open-source React toolkit and presentation layer| the Vanilla Framework. We are excited to develop this further and see if we can help more open-source projects build performant and accessible interfaces that respond well to diverse layouts. We use REST APIs for communication| and we consider API design an important part of the process. Flutter is a new front-end technology that has the potential to unify our desktop and web development. We are growing the team's exposure to Flutter and have roles on both web and Ubuntu engineering for this specialism. We hire developers with outstanding academic results and a passion for open-source software| innovation| and cutting-edge web technologies. In these roles| you will have the opportunity to make significant contributions through high-quality| front-end and back-end code while exhibiting technical leadership| exceptional design| and intuitive user experience. Additionally| we encourage colleagues to engage with the broader open-source community. We're looking for individuals who can help build a thriving community| contribute to a broad range of technologies| and ensure seamless software operations at scale. : This is a Globally remote role. The role entails What we are looking for in you Nice-to-have skills What we offer colleagues We consider geographical location| experience| and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay| we offer a performance-driven annual bonus or commission. We provide all team members with additional benefits| which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally. Canonical is a pioneering tech firm at the forefront of the global move to open source. As the company that publishes Ubuntu| one of the most important open source projects and the platform for AI| IoT and the cloud| we are changing the world of software. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed| we need to be the best at what we do. Most colleagues at Canonical have worked from home since its inception in 2004. Working here is a step into the future| and will challenge you to think differently| work smarter| learn new skills| and raise your game. Canonical is an equal-opportunity employer We are proud to foster a workplace free from discrimination. Diversity of experience| perspectives| and background creates a better work environment and better products. Whatever your identity| we will give your application fair consideration.
Angular Developer,Switch Software,Buenos Aires y alrededores,Hace 1 semana,42 solicitudes,https://ar.linkedin.com/jobs/view/angular-developer-at-switch-software-4139777889?position=32&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=JtCgr6UIQLRklyQu7ye0eQ%3D%3D,We are searching for Semi Senior Adv / Senior JavaScript (Angular) developers. We are looking for an energetic| dedicated| and responsible front-end software developer to help us build software that is modernizing the construction industry. As an integral part of the product engineering team| you will be responsible for building applications from the ground up and developing features that change how customers do business. Requisitos Beneficios Switch Software is always looking for ambitious| talented software developers. Our main offerings include .NET| Java and Javascript| but if you specialize in something else| we want to see what you have to offer. We are a growing company and have offices in Montevideo(Uruguay) and in US in Austin (Texas)| Chicago and Denver. If you want to work in US projects on a team that maintains a small-company family environment| then Switch may be your next home. https //www.switchsoftware.io/careers
Developer Frontend Checkout Sr,Frávega,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 2 semanas,65 solicitudes,https://ar.linkedin.com/jobs/view/developer-frontend-checkout-sr-at-fr%C3%A1vega-4136809734?position=33&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=wD1DrtE5zS7hR9YWknhysQ%3D%3D,Tenemos una oportunidad dentro de Frávega Tech| ya que buscamos un Developer Frontend Ecommerce Sr para nuestro equipo de Ecommerce. ¿Cuales serán tus principales funciones y responsabilidades? Requisitos tiene Nuevas Oportunidades y Desafíos Profesionales para vos! Somos la en ventas del segmento de electrodomésticos y pionera en la omnicanalidad como respuesta a las nuevas formas de consumo donde desarrollamos un para ampliar la oferta de productos. Integramos la logística de nuestro con nuestras para ofrecer una experiencia de cliente única| con entrega rápida y segura. Somos un distribuidos en todo el país con más de . Nos transformamos y adaptamos continuamente a las novedades del mercado| priorizando siempre a las personas. ¿Te querés sumar y ser parte de Frávega? Estando cerca| somos el mejor equipo por lejos.
Front end Developer SSr,Raven.inc,Buenos Aires y alrededores,Hace 2 meses,174 solicitudes,https://ar.linkedin.com/jobs/view/front-end-developer-ssr-at-raven-inc-4091656826?position=34&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=2ALfdZLuGiWGHIMjnfz8wQ%3D%3D,About Us We are Raven| a unique blend of consulting| creative and technology capabilities united with a single focus: We ideate| build| and launch new value propositions that materialize our clients' potential. Our unique approach underpins the creation of emerging propositions capable of generating or capturing new value. We untap New Horizons. In a world that faces unprecedented challenges both from a business and market dynamics| with the increasing demand of an evolving customer and collaborator| we are the wingman of our clients to cope with their growth challenges. Just for a Few. We support leaders and market creators to innovate commercial disruptions and accelerate growth| combining strategy| design| innovation| and technology. Many organizations preach the same promise| but only a few delivers on it. We are among those. Global Reach. Since our inception| we have developed projects with top-tier organizations throughout Latin America and Europe. We are currently expanding beyond. We are not a consulting Company. We work differently from traditional consultants. We are not another consulting boutique| nor we want to be. We are fast and agile as a start-up| but precise and narrow focus on delivering value to our clients. For you. We support your professional and personal development. We provide freedom to develop and a unique work environment that rewards each member of our team professionally and personally. Our Verticals. We organize across four business lines: Business| Experience| Growth and Tech. These business lines create a seamless and yet synergetic value proposition for our clients. We Think to Design. We build to Sell. This is what we do| we conceive unique value propositions that then we take to market! We look for individuals who dare to Here comes the ones who change things trying to get there faster Making things happen delivering Here comes those who transform the present to and the ones who You must think| act| and behave with an owner's mentality that is permanently reinventing itself. Here are those of us who want to make the imposible posible. Our work place You must be a natural team player and should feel comfortable working with professionals from diverse disciplines| backgrounds| and countries. We embrace work-life balance: the well-being of our people is a priority for us. A culture of learning and creating is promoted around the world: diversity will allow us to strengthen our impact. We encourage innovation and disruption. We understand that changes will occur| and that adaptability is essential to help when they do happen. Collaboration is emphasized and rewarded. Si te apasiona el desarrollo de soluciones digitales centradas en usuarios| entonces nos interesa conocerte. Buscamos un Desarrollador Front-End Angular con conocimientos en algún otro lenguaje de desarrollo Front end| como React Native o Flutter| motivado y comprometido| con interés en el aprendizaje constante y el trabajo en equipo en un ambiente ágil. En esta posición trabajarás junto a profesionales de primer nivel en el desarrollo de proyectos para importantes empresas en la región| los que desafiarán y potenciarán tus habilidades. Llevarás a cabo soluciones para diferentes tipologías de proyectos| dependiendo del requerimiento de nuestros clientes. Serás parte de un equipo que trabaja de manera flexible y con habilidades de primer nivel. Our benefits! 🚀 We are working on new rewards tailored to the market for 2025 👏 Your salary can be paid in USD. 🎁 My Birthday: Afternoon off on your birthday 🚚 Moving Day: we support that you can move in calmly and settle into your new home 🔎 Raven Hunters: You can recommend profiles that you know and that you think can make a perfect match with our organization 🐦‍⬛ Raven allows you to work remotely in your country.
Desarrollador de front-end,VEMO,Vicente López| Provincia de Buenos Aires| Argentina,Hace 3 semanas,Sé de los primeros 25 solicitantes,https://ar.linkedin.com/jobs/view/desarrollador-de-front-end-at-vemo-4127545619?position=35&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=GAzELxvhPhtn2ll0I9fuGw%3D%3D,Búsqueda Laboral Contacto: magdalena.alisedo@vemo.global Puesto Ofertado: Senior Frontend Developer Ubicación: Olivos Descripción
Angular Developer,Switch Software,Buenos Aires y alrededores,Hace 1 mes,86 solicitudes,https://ar.linkedin.com/jobs/view/angular-developer-at-switch-software-4118690317?position=36&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=lPErHSKMHMZcJguPYfhQTQ%3D%3D,At Switch Software| we are looking for an experienced Angular Developer Senior to join our team and collaborate on projects within the reinsurance industry. We are seeking a passionate developer who thrives in a dynamic and innovative environment. Requisitos Beneficios Switch Software is always looking for ambitious| talented software developers. Our main offerings include .NET| Java and Javascript| but if you specialize in something else| we want to see what you have to offer. We are a growing company and have offices in Montevideo(Uruguay) and in US in Austin (Texas)| Chicago and Denver. If you want to work in US projects on a team that maintains a small-company family environment| then Switch may be your next home. https //www.switchsoftware.io/careers
Javascript Developer,CodingIT,Argentina,Hace 1 semana,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/javascript-developer-at-codingit-4144982349?position=37&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=gutj4qKQ%2BWqxUbfBr6lN6g%3D%3D,Position: Full-Stack Developer (React.js + Node.js) Experience: Minimum 3 years of professional experience with React.js + Node.js. Language: Fluent in English Location: Remote/ Argentina
